jmap -histo:live 17142

 num     #instances         #bytes  class name
 339:            26           1872  org.springframework.web.servlet.tags.UrlTag
 340:            11           1848  org.apache.jasper.compiler.PageInfo
 341:            46           1840  [Ljavax.servlet.jsp.tagext.Tag;
 342:            38           1824  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 343:            56           1792  java.security.Permissions
 344:            56           1792  javax.el.BeanELResolver$BeanProperty
 345:            56           1792  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 346:            54           1728  java.io.FilePermission
 347:            54           1728  java.security.BasicPermissionCollection
 348:           108           1728  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable
 349:            72           1728  org.springframework.beans.BeanWrapperImpl$PropertyTokenHolder
 350:            71           1704  java.lang.ProcessEnvironment$Value
 351:            71           1704  java.lang.ProcessEnvironment$Variable
 352:             4           1696  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 353:            53           1696  java.util.regex.Pattern$Curly
 354:            30           1680  java.security.Provider$Service
 355:            17           1664  [[Ljava.lang.String;
 356:            69           1656  java.security.Provider$ServiceKey
 357:            69           1656  javax.xml.namespace.QName
 358:            69           1656  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 359:            41           1640  java.security.AccessControlContext
 360:             3           1632  [[B
 361:           101           1616  org.apache.tomcat.util.buf.UDecoder
 362:           100           1600  org.apache.catalina.connector.CoyoteInputStream
 363:           100           1600  org.apache.catalina.connector.CoyoteOutputStream
 364:           100           1600  org.apache.catalina.connector.RequestFacade
 365:           100           1600  org.apache.catalina.connector.ResponseFacade
 366:           100           1600  org.apache.coyote.http11.InternalInputBuffer$InputStreamInputBuffer
 367:           100           1600  org.apache.coyote.http11.InternalOutputBuffer$OutputStreamOutputBuffer
 368:           100           1600  org.apache.coyote.http11.filters.VoidInputFilter
 369:           100           1600  org.apache.coyote.http11.filters.VoidOutputFilter
 370:            50           1600  org.apache.el.parser.AstDynamicExpression
 371:            50           1600  org.apache.el.parser.AstIdentifier
 372:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 373:            85           1584  [Ljava.lang.reflect.Constructor;
 374:            66           1584  org.apache.jasper.compiler.ELNode$Root
 375:            33           1584  org.aspectj.weaver.UnresolvedType
 376:            49           1568  java.lang.reflect.Proxy$Key1
 377:            65           1560  java.lang.RuntimePermission
 378:            32           1536  com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal
 379:            48           1536  com.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr
 380:            32           1536  java.util.TreeMap
 381:            64           1536  javax.servlet.jsp.tagext.FunctionInfo
 382:            12           1536  org.hsqldb.result.Result
 383:            21           1512  org.apache.jasper.compiler.Node$IncludeAction
 384:            47           1504  com.sun.org.apache.xerces.internal.util.SymbolHash
 385:            94           1504  javax.servlet.jsp.tagext.TagData
 386:            47           1504  org.apache.el.parser.AstCompositeExpression
 387:            47           1504  org.apache.tomcat.util.digester.SetNextRule
 388:            47           1504  sun.reflect.annotation.AnnotationType
 389:            46           1472  org.apache.tomcat.util.digester.ObjectCreateRule
 390:             8           1472  org.springframework.web.servlet.tags.form.FormTag
 391:            12           1448  [[S
 392:            18           1440  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment;
 393:            45           1440  javax.servlet.jsp.tagext.TagVariableInfo
 394:             4           1408  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl
 395:            25           1400  org.apache.tomcat.util.res.StringManager$1
 396:            58           1392  java.util.regex.Pattern$Slice
 397:            58           1392  org.springframework.http.MediaType
 398:             1           1376  [Lsun.misc.FDBigInteger;
 399:            42           1344  java.util.regex.Pattern$BnM
 400:            56           1344  sun.reflect.generics.tree.FormalTypeParameter
 401:            55           1320  java.io.FilePermissionCollection
 402:            41           1312  [Ljava.math.BigInteger;
 403:             2           1312  [Ljava.util.Locale;
 404:            82           1312  java.util.HashMap$EntrySet
 405:             9           1296  [Lorg.aspectj.apache.bcel.generic.Type;
 406:            27           1296  com.sun.xml.bind.v2.runtime.LeafBeanInfoImpl
 407:            27           1296  org.apache.commons.beanutils.converters.ArrayConverter
 408:            23           1288  org.hsqldb.types.IntervalType
 409:            32           1280  java.math.BigDecimal
 410:            40           1280  org.apache.el.parser.AstDotSuffix
 411:            16           1280  org.apache.jasper.compiler.Node$ELExpression
 412:            40           1280  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 413:            53           1272  java.util.concurrent.atomic.AtomicLong
 414:            53           1272  org.springframework.util.AntPathMatcher$AntPathStringMatcher
 415:            41           1264  [Lcom.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr;
 416:            13           1248  com.github.dandelion.datatables.jsp.tag.ColumnTag
 417:            39           1248  com.sun.org.apache.xerces.internal.impl.dtd.XMLElementDecl
 418:            11           1232  org.apache.jasper.JspCompilationContext
 419:            51           1224  java.util.regex.Pattern$GroupHead
 420:            51           1224  java.util.regex.Pattern$GroupTail
 421:            30           1200  java.util.PropertyResourceBundle
 422:            29           1160  org.hibernate.validator.internal.metadata.aggregated.ParameterMetaData
 423:            16           1152  java.lang.reflect.Field
 424:            48           1152  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 425:            11           1144  org.apache.jasper.servlet.JasperLoader
 426:            13           1144  org.apache.naming.resources.FileDirContext$FileResourceAttributes
 427:            34           1120  [Ljava.io.ObjectStreamField;
 428:            35           1120  org.aspectj.weaver.Lint$Kind
 429:            46           1104  org.apache.jasper.runtime.TagHandlerPool
 430:            46           1104  org.springframework.core.convert.support.GenericConversionService$ConverterCacheKey
 431:            23           1104  sun.management.DiagnosticCommandInfo
 432:             3           1072  [Ljava.lang.Byte;
 433:             3           1072  [Ljava.lang.Integer;
 434:             3           1072  [Ljava.lang.Long;
 435:             3           1072  [Ljava.lang.Short;
 436:             2           1064  [Ljava.lang.invoke.MethodHandle;
 437:            19           1064  java.lang.Class$ReflectionData
 438:             4           1056  org.apache.catalina.core.StandardWrapper
 439:            11           1056  org.apache.jasper.servlet.JspServletWrapper
 440:            12           1056  org.apache.taglibs.standard.tag.rt.core.ForEachTag
 441:            29           1048  [Ljava.security.ProtectionDomain;
 442:             1           1040  [Lcom.sun.org.apache.xerces.internal.impl.dtd.models.ContentModelValidator;
 443:             1           1040  [Lcom.sun.org.apache.xerces.internal.impl.dv.DatatypeValidator;
 444:             1           1040  [[Ljava.lang.Class;
 445:            10           1040  org.springframework.context.annotation.ScannedGenericBeanDefinition
 446:            42           1032  [Lorg.springframework.web.bind.annotation.RequestMethod;
 447:             3           1032  com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl
 448:            64           1024  [Lorg.apache.tomcat.util.modeler.NotificationInfo;
 449:            32           1024  org.apache.el.parser.AstValue
